Age,Attrition,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,EducationField,MaritalStatus,PerformanceRating
37,No,Research & Development,Research Scientist,1620,19,4,2,No,7,Technical Degree,Married,3
40,Yes,Sales,Manager,7506,12,4,3,No,8,Other,Married,3
41,No,Research & Development,Research Scientist,3104,1,1,2,Yes,11,Marketing,Divorced,3
34,Yes,Research & Development,Laboratory Technician,6078,3,1,2,No,8,Marketing,Divorced,3
24,No,Sales,Manager,3705,1,4,3,No,4,Other,Married,3
46,No,Research & Development,Manufacturing Director,8329,1,3,3,No,8,Human Resources,Married,3
28,Yes,Sales,Sales Representative,5584,2,1,3,Yes,4,Technical Degree,Single,4
18,Yes,Sales,Manager,5595,0,4,1,No,7,Other,Divorced,3
39,No,Research & Development,Research Director,11840,12,4,4,No,3,Medical,Married,3
40,No,Research & Development,Manufacturing Director,4235,14,3,1,No,14,Technical Degree,Married,4
44,Yes,Sales,Sales Representative,1598,24,1,3,Yes,4,Other,Single,3
27,No,Research & Development,Healthcare Representative,3482,3,3,1,No,5,Other,Married,3
42,No,Research & Development,Healthcare Representative,2782,4,1,4,No,7,Other,Married,3
49,Yes,Research & Development,Research Scientist,6047,9,4,3,Yes,10,Life Sciences,Single,3
33,Yes,Research & Development,Manufacturing Director,3867,15,4,4,No,8,Other,Married,3
53,No,Research & Development,Laboratory Technician,8560,1,3,3,Yes,2,Human Resources,Divorced,3
33,Yes,Sales,Manager,2433,16,3,2,Yes,10,Life Sciences,Married,3
46,No,Research & Development,Healthcare Representative,6623,2,3,2,No,9,Technical Degree,Divorced,3
42,No,Sales,Sales Executive,3058,1,3,2,No,15,Human Resources,Married,3
28,Yes,Research & Development,Healthcare Representative,10070,3,1,2,Yes,19,Human Resources,Single,3
37,No,Research & Development,Laboratory Technician,4308,2,4,4,No,20,Medical,Single,4
32,No,Research & Development,Healthcare Representative,6783,6,1,1,No,3,Marketing,Single,3
27,No,Research & Development,Healthcare Representative,4350,0,3,4,No,3,Technical Degree,Divorced,3
49,No,Sales,Manager,6733,0,4,3,No,8,Other,Divorced,4
38,No,Research & Development,Research Scientist,4973,9,3,3,No,2,Other,Divorced,3
35,Yes,Human Resources,Manager,6504,5,2,4,No,9,Marketing,Divorced,3
31,No,Research & Development,Healthcare Representative,5227,4,3,3,No,25,Marketing,Single,3
47,No,Research & Development,Laboratory Technician,8423,7,2,2,No,8,Human Resources,Divorced,3
54,Yes,Research & Development,Manufacturing Director,3768,12,2,1,No,8,Other,Divorced,3
28,Yes,Research & Development,Research Scientist,20000,3,2,3,Yes,22,Human Resources,Single,3
32,No,Research & Development,Manufacturing Director,4557,0,3,1,No,19,Marketing,Single,4
40,No,Research & Development,Healthcare Representative,4144,15,2,3,No,14,Marketing,Divorced,4
39,Yes,Sales,Manager,7406,25,3,4,Yes,3,Life Sciences,Single,3
40,No,Human Resources,Human Resources,5734,19,1,3,Yes,2,Life Sciences,Divorced,3
32,Yes,Research & Development,Research Scientist,4262,1,1,4,No,30,Other,Married,3
31,Yes,Sales,Sales Representative,8316,2,2,2,Yes,3,Technical Degree,Married,3
42,No,Sales,Sales Executive,3719,1,2,4,Yes,1,Life Sciences,Married,3
49,Yes,Research & Development,Manufacturing Director,5659,1,3,3,Yes,8,Other,Divorced,3
36,No,Research & Development,Research Director,3240,2,4,1,No,5,Other,Married,3
47,Yes,Research & Development,Research Scientist,6910,13,2,3,No,40,Human Resources,Single,4
36,Yes,Research & Development,Research Scientist,2434,9,3,3,No,4,Medical,Single,4
32,Yes,Research & Development,Healthcare Representative,1840,10,1,2,No,1,Life Sciences,Single,3
56,No,Research & Development,Manufacturing Director,4539,1,3,3,No,1,Medical,Single,3
28,No,Sales,Sales Representative,3437,1,4,2,No,31,Medical,Divorced,3
47,No,Sales,Manager,3802,3,1,3,No,14,Marketing,Single,3
30,No,Research & Development,Manufacturing Director,3503,14,2,2,Yes,18,Life Sciences,Married,3
31,No,Research & Development,Research Scientist,6180,4,3,1,No,22,Life Sciences,Married,3
31,No,Sales,Manager,3406,16,3,3,No,1,Technical Degree,Divorced,3
32,Yes,Research & Development,Manufacturing Director,9839,12,2,1,Yes,3,Technical Degree,Single,3
37,Yes,Research & Development,Healthcare Representative,7656,4,1,1,No,5,Human Resources,Married,3
36,No,Sales,Manager,3975,1,1,3,Yes,8,Life Sciences,Married,3
47,Yes,Sales,Sales Executive,3852,3,4,2,No,2,Human Resources,Married,3
35,Yes,Research & Development,Research Director,6865,0,1,4,No,13,Marketing,Divorced,3
41,No,Research & Development,Healthcare Representative,5420,2,3,3,No,16,Medical,Single,4
28,No,Research & Development,Research Director,7923,2,4,1,No,11,Human Resources,Divorced,3
27,No,Human Resources,Human Resources,2592,0,3,2,No,16,Marketing,Married,4
42,No,Sales,Manager,4468,0,1,2,No,1,Other,Single,4
22,Yes,Research & Development,Laboratory Technician,4939,4,3,4,No,7,Marketing,Single,4
28,No,Research & Development,Laboratory Technician,11774,3,4,4,No,3,Other,Single,3
32,No,Sales,Sales Executive,3841,2,3,4,Yes,11,Other,Married,3
19,No,Sales,Sales Representative,4748,6,3,2,Yes,7,Human Resources,Married,4
44,No,Research & Development,Research Director,9188,18,4,3,No,20,Human Resources,Married,3
35,Yes,Research & Development,Healthcare Representative,5149,6,3,2,No,2,Life Sciences,Married,3
40,No,Research & Development,Manufacturing Director,13910,0,2,3,No,25,Marketing,Divorced,3
19,Yes,Human Resources,Human Resources,3196,0,1,3,No,2,Life Sciences,Married,3
20,No,Sales,Sales Representative,8220,12,4,3,No,4,Life Sciences,Married,3
23,Yes,Research & Development,Healthcare Representative,1192,12,2,3,No,15,Life Sciences,Divorced,3
40,No,Research & Development,Research Director,4476,0,4,3,No,1,Technical Degree,Divorced,3
41,No,Research & Development,Research Director,3007,24,3,3,Yes,4,Other,Single,3
38,No,Research & Development,Manufacturing Director,6271,0,3,3,No,16,Human Resources,Divorced,3
24,No,Research & Development,Laboratory Technician,3447,0,3,3,No,9,Technical Degree,Divorced,3
33,No,Research & Development,Laboratory Technician,4126,12,1,3,Yes,19,Technical Degree,Single,3
52,No,Sales,Sales Representative,4960,22,2,4,No,22,Life Sciences,Divorced,3
50,Yes,Research & Development,Laboratory Technician,3711,5,3,3,No,15,Other,Married,3
47,No,Research & Development,Manufacturing Director,5272,3,3,4,Yes,16,Human Resources,Single,3
43,Yes,Research & Development,Healthcare Representative,2033,2,1,2,Yes,34,Marketing,Married,4
29,No,Research & Development,Manufacturing Director,9318,7,4,4,No,13,Other,Divorced,3
37,No,Human Resources,Human Resources,4153,7,3,2,No,1,Other,Married,3
41,Yes,Sales,Sales Executive,1929,3,2,2,No,12,Human Resources,Divorced,4
29,Yes,Sales,Sales Representative,4392,0,3,3,Yes,2,Other,Divorced,3
41,No,Research & Development,Research Director,4109,18,3,1,Yes,7,Marketing,Single,3
35,No,Sales,Manager,4991,10,2,1,No,4,Marketing,Married,4
45,Yes,Research & Development,Manufacturing Director,2949,2,4,3,No,1,Other,Single,3
31,No,Research & Development,Healthcare Representative,6819,1,4,4,Yes,5,Other,Married,3
18,No,Research & Development,Laboratory Technician,4074,2,3,3,Yes,7,Other,Divorced,3
35,Yes,Research & Development,Research Director,4515,2,3,3,No,1,Other,Married,3
28,No,Research & Development,Research Director,6661,7,2,4,No,3,Marketing,Married,3
43,No,Research & Development,Laboratory Technician,2771,12,3,4,No,1,Marketing,Married,3
26,Yes,Research & Development,Laboratory Technician,7683,0,4,2,No,34,Medical,Single,3
46,No,Research & Development,Research Scientist,5496,2,3,3,No,5,Life Sciences,Divorced,3
33,No,Research & Development,Research Director,6115,19,3,4,No,13,Human Resources,Single,3
42,No,Research & Development,Healthcare Representative,3421,2,4,2,Yes,34,Human Resources,Single,3
47,No,Research & Development,Research Director,2727,6,3,3,No,5,Medical,Single,3
43,No,Research & Development,Research Director,2925,1,3,3,Yes,1,Medical,Divorced,3
29,Yes,Research & Development,Manufacturing Director,9180,4,4,2,No,1,Marketing,Divorced,3
37,Yes,Sales,Manager,4288,3,3,2,No,9,Technical Degree,Divorced,4
38,No,Sales,Sales Representative,7855,5,3,1,Yes,8,Technical Degree,Single,3
27,Yes,Human Resources,Human Resources,4273,8,2,3,No,20,Technical Degree,Single,3
40,No,Research & Development,Healthcare Representative,5292,2,1,2,Yes,9,Human Resources,Married,3
47,No,Research & Development,Manufacturing Director,2636,5,2,2,Yes,16,Technical Degree,Divorced,4
35,No,Research & Development,Research Director,3176,9,4,2,Yes,11,Medical,Single,3
37,Yes,Sales,Manager,4229,13,4,3,No,1,Marketing,Single,3
22,No,Research & Development,Manufacturing Director,10422,1,1,2,Yes,1,Human Resources,Single,4
46,No,Research & Development,Research Director,5144,37,3,4,No,3,Marketing,Single,3
26,Yes,Research & Development,Laboratory Technician,8678,1,3,2,No,10,Human Resources,Single,3
36,Yes,Research & Development,Manufacturing Director,8447,9,3,2,Yes,3,Medical,Married,3
33,No,Research & Development,Healthcare Representative,6052,0,4,2,No,7,Technical Degree,Single,3
47,No,Sales,Sales Representative,15355,1,3,4,Yes,6,Medical,Married,3
45,No,Sales,Sales Executive,2269,15,4,3,No,4,Life Sciences,Married,3
42,No,Research & Development,Research Scientist,3102,5,3,4,Yes,3,Other,Married,3
27,Yes,Research & Development,Laboratory Technician,9090,7,3,4,No,4,Marketing,Married,4
38,No,Sales,Manager,3012,24,3,1,No,6,Other,Married,3
26,No,Research & Development,Manufacturing Director,2113,0,4,3,No,9,Life Sciences,Single,3
38,Yes,Research & Development,Healthcare Representative,6345,21,2,3,No,7,Medical,Divorced,3
34,No,Research & Development,Research Director,3034,1,4,2,Yes,7,Life Sciences,Married,3
20,No,Research & Development,Laboratory Technician,7784,11,3,1,No,21,Life Sciences,Single,3
36,No,Sales,Sales Representative,4732,3,3,1,No,12,Human Resources,Married,3
36,Yes,Research & Development,Research Scientist,3243,6,4,4,Yes,25,Technical Degree,Divorced,3
40,Yes,Research & Development,Research Director,1385,6,4,3,No,14,Human Resources,Divorced,4
31,No,Sales,Sales Executive,7496,0,3,3,No,1,Marketing,Married,3
25,No,Human Resources,Human Resources,3766,4,1,4,No,7,Medical,Divorced,3
48,No,Research & Development,Manufacturing Director,5466,6,4,3,No,28,Other,Single,3
42,No,Research & Development,Research Director,2596,5,2,1,No,12,Life Sciences,Divorced,3
31,Yes,Sales,Manager,5527,4,2,2,Yes,4,Human Resources,Divorced,3
18,No,Research & Development,Research Scientist,13718,3,4,2,No,1,Technical Degree,Single,3
46,No,Research & Development,Manufacturing Director,5369,5,4,1,Yes,1,Marketing,Divorced,3
33,No,Research & Development,Research Scientist,5249,20,4,2,Yes,1,Life Sciences,Married,3
22,No,Sales,Sales Executive,5217,3,4,3,No,1,Other,Single,3
47,No,Research & Development,Research Director,9829,3,3,3,Yes,3,Marketing,Single,3
37,Yes,Sales,Sales Executive,6334,9,2,3,Yes,1,Marketing,Divorced,3
41,No,Research & Development,Laboratory Technician,12933,4,4,1,No,3,Other,Married,3
41,No,Human Resources,Manager,4129,12,2,3,No,34,Medical,Single,3
47,Yes,Research & Development,Manufacturing Director,3170,3,3,4,No,18,Medical,Single,3
34,No,Research & Development,Laboratory Technician,2878,5,3,3,No,1,Marketing,Married,3
31,No,Research & Development,Research Director,2732,7,3,3,No,8,Human Resources,Married,3
60,Yes,Sales,Sales Representative,2492,5,2,3,Yes,3,Other,Single,3
44,No,Research & Development,Healthcare Representative,2867,5,4,3,No,6,Life Sciences,Divorced,3
53,Yes,Sales,Sales Representative,2351,5,2,1,No,3,Marketing,Married,3
42,No,Sales,Sales Representative,5226,1,3,1,No,7,Technical Degree,Married,3
36,No,Research & Development,Laboratory Technician,5038,0,4,3,No,8,Technical Degree,Married,3
39,Yes,Research & Development,Research Director,5415,5,2,2,Yes,2,Life Sciences,Divorced,3
22,Yes,Research & Development,Manufacturing Director,12473,6,1,1,Yes,6,Human Resources,Single,3
48,No,Sales,Manager,4031,0,3,3,No,24,Life Sciences,Single,3
36,No,Sales,Sales Representative,8100,5,3,3,No,52,Marketing,Married,3
40,No,Sales,Manager,4386,2,2,2,No,6,Medical,Divorced,3
44,No,Sales,Sales Representative,7280,2,3,2,No,9,Life Sciences,Divorced,4
43,No,Research & Development,Healthcare Representative,7096,8,4,3,Yes,10,Technical Degree,Married,3
37,Yes,Research & Development,Research Scientist,2367,2,3,3,No,2,Other,Married,3
42,No,Sales,Sales Representative,3579,16,3,4,No,16,Other,Divorced,3
23,No,Human Resources,Human Resources,2755,0,3,2,Yes,3,Medical,Divorced,3
44,Yes,Research & Development,Manufacturing Director,3961,13,4,2,No,26,Life Sciences,Single,3
56,No,Research & Development,Healthcare Representative,4936,5,1,2,No,17,Human Resources,Single,3
47,No,Human Resources,Human Resources,2620,9,4,4,No,17,Marketing,Married,3
44,No,Research & Development,Manufacturing Director,8739,2,4,2,Yes,11,Human Resources,Single,3
26,No,Research & Development,Research Director,4036,12,3,2,No,6,Marketing,Divorced,3
40,No,Research & Development,Healthcare Representative,5936,8,1,4,No,10,Life Sciences,Single,3
31,No,Research & Development,Laboratory Technician,5804,3,4,1,No,10,Technical Degree,Divorced,3
45,Yes,Sales,Sales Executive,3412,3,1,1,No,33,Marketing,Divorced,3
39,Yes,Research & Development,Manufacturing Director,1692,4,4,3,No,1,Human Resources,Married,4
38,No,Sales,Manager,3711,6,3,3,No,1,Technical Degree,Single,3
26,Yes,Research & Development,Research Scientist,1543,2,4,3,No,8,Life Sciences,Married,4
34,No,Research & Development,Laboratory Technician,6700,0,2,3,Yes,1,Technical Degree,Single,4
30,No,Research & Development,Healthcare Representative,6378,0,1,3,No,5,Other,Single,3
25,No,Research & Development,Research Director,2333,6,4,2,Yes,46,Marketing,Single,3
48,No,Sales,Manager,3928,2,3,3,No,17,Other,Divorced,4
35,No,Sales,Sales Executive,10426,31,3,4,No,2,Human Resources,Single,3
28,No,Human Resources,Human Resources,9430,0,3,2,No,3,Medical,Single,3
27,Yes,Sales,Sales Representative,3311,1,1,2,No,3,Human Resources,Divorced,3
18,No,Research & Development,Healthcare Representative,4707,0,4,1,No,3,Human Resources,Single,3
33,No,Sales,Manager,5677,7,1,1,No,1,Life Sciences,Married,3
42,No,Research & Development,Manufacturing Director,3998,1,4,1,No,13,Other,Married,4
31,No,Human Resources,Manager,3148,2,3,3,No,1,Human Resources,Single,3
37,No,Sales,Sales Executive,1836,11,4,3,Yes,7,Other,Single,3
32,No,Research & Development,Manufacturing Director,4687,2,4,4,No,1,Human Resources,Married,3
33,No,Research & Development,Laboratory Technician,5623,27,3,4,No,8,Human Resources,Divorced,3
39,Yes,Sales,Manager,7562,11,1,2,No,9,Medical,Married,3
48,No,Sales,Manager,5942,3,1,2,Yes,3,Life Sciences,Single,3
28,Yes,Research & Development,Research Director,9921,12,2,3,No,1,Medical,Single,3
48,No,Research & Development,Healthcare Representative,2825,0,3,2,Yes,8,Medical,Married,3
32,No,Research & Development,Research Director,4306,16,1,3,Yes,3,Life Sciences,Married,4
39,No,Sales,Sales Executive,11235,15,3,3,Yes,1,Human Resources,Married,4
48,No,Research & Development,Laboratory Technician,3546,2,4,3,No,19,Human Resources,Divorced,3
23,No,Sales,Sales Executive,4455,9,4,3,No,29,Medical,Divorced,3
43,No,Research & Development,Research Director,4330,5,4,4,No,5,Other,Divorced,3
49,No,Research & Development,Research Director,7011,11,4,3,Yes,4,Human Resources,Single,3
30,Yes,Research & Development,Research Scientist,9375,7,2,3,No,2,Other,Divorced,3
23,No,Research & Development,Healthcare Representative,4694,23,4,4,No,5,Human Resources,Married,4
27,No,Research & Development,Research Director,7509,4,1,2,Yes,1,Technical Degree,Divorced,4
45,Yes,Sales,Manager,6193,5,2,3,No,11,Marketing,Married,3
20,No,Human Resources,Human Resources,7571,7,1,4,Yes,3,Other,Married,3
31,Yes,Research & Development,Healthcare Representative,1487,13,2,4,Yes,13,Other,Single,3
26,No,Sales,Sales Executive,4333,8,3,3,Yes,2,Technical Degree,Married,3
47,No,Research & Development,Laboratory Technician,5394,7,3,4,No,23,Medical,Married,3
33,Yes,Sales,Manager,3455,5,3,3,Yes,4,Marketing,Married,3
40,No,Human Resources,Human Resources,5408,10,3,2,No,8,Human Resources,Divorced,3
18,Yes,Research & Development,Research Scientist,5872,5,2,4,Yes,1,Technical Degree,Single,3
21,No,Research & Development,Healthcare Representative,3883,5,2,4,No,6,Medical,Single,3
36,Yes,Research & Development,Research Scientist,3740,2,4,1,No,12,Technical Degree,Divorced,3
37,Yes,Sales,Sales Representative,6224,6,2,3,No,1,Medical,Married,3
30,No,Research & Development,Research Director,3622,4,4,1,No,1,Medical,Single,3
36,No,Sales,Sales Representative,3679,13,2,3,Yes,5,Technical Degree,Married,3
25,No,Research & Development,Healthcare Representative,2804,0,3,1,No,30,Life Sciences,Married,4
51,No,Research & Development,Research Director,7339,2,3,3,No,12,Medical,Single,3
44,No,Research & Development,Research Director,4840,6,3,2,No,17,Life Sciences,Married,3
36,No,Research & Development,Manufacturing Director,5982,6,1,3,No,7,Other,Divorced,3
32,No,Research & Development,Manufacturing Director,10029,14,3,4,No,1,Life Sciences,Single,3
38,Yes,Sales,Sales Representative,5702,7,2,2,No,5,Marketing,Divorced,3
36,No,Research & Development,Healthcare Representative,4346,4,1,4,Yes,1,Marketing,Single,3
52,Yes,Research & Development,Manufacturing Director,1889,0,1,3,No,19,Human Resources,Single,3
35,No,Research & Development,Healthcare Representative,7187,12,1,4,No,25,Life Sciences,Married,3
35,No,Research & Development,Research Director,5490,2,4,4,No,2,Human Resources,Married,3
35,No,Research & Development,Research Director,3595,2,2,4,No,11,Life Sciences,Single,4
34,No,Research & Development,Research Scientist,9684,14,2,4,Yes,3,Marketing,Divorced,3
27,No,Research & Development,Healthcare Representative,14162,9,2,1,No,5,Medical,Divorced,3
31,No,Research & Development,Research Director,4588,6,4,2,No,9,Life Sciences,Single,3
38,Yes,Research & Development,Research Scientist,1325,0,3,3,Yes,4,Marketing,Married,4
45,No,Research & Development,Research Director,4925,8,3,4,No,5,Human Resources,Divorced,3
30,No,Research & Development,Laboratory Technician,4830,5,3,4,Yes,15,Human Resources,Married,3
37,No,Sales,Sales Executive,6247,2,3,4,No,1,Human Resources,Divorced,3
35,No,Sales,Sales Representative,10447,1,2,2,No,3,Human Resources,Divorced,4
53,No,Research & Development,Research Director,4140,28,1,1,No,2,Human Resources,Married,3
36,No,Sales,Sales Representative,2824,6,3,1,No,1,Marketing,Married,3
48,No,Research & Development,Research Scientist,1460,4,3,4,No,3,Human Resources,Married,3
37,No,Human Resources,Human Resources,6506,4,2,4,Yes,7,Marketing,Divorced,3
37,No,Sales,Manager,3593,0,2,3,No,2,Other,Single,3
35,No,Sales,Manager,6093,5,4,1,No,26,Human Resources,Divorced,3
37,No,Sales,Manager,6497,0,2,3,No,11,Technical Degree,Single,4
54,Yes,Sales,Manager,15371,3,2,4,No,6,Human Resources,Divorced,3
53,No,Sales,Sales Executive,6062,5,4,3,No,13,Technical Degree,Married,3
29,Yes,Research & Development,Manufacturing Director,1891,10,3,4,No,3,Other,Single,3
37,No,Sales,Sales Representative,2272,2,1,3,No,5,Human Resources,Married,4
46,No,Research & Development,Research Scientist,5428,6,4,3,Yes,5,Human Resources,Single,3
43,No,Research & Development,Research Director,4247,23,3,2,No,10,Other,Married,3
22,Yes,Research & Development,Research Director,2669,2,3,2,Yes,3,Medical,Married,4
55,No,Research & Development,Research Director,2307,28,2,3,No,8,Marketing,Divorced,3
38,No,Research & Development,Healthcare Representative,3537,9,2,4,Yes,16,Medical,Single,3
47,Yes,Sales,Sales Representative,2290,5,1,2,Yes,2,Medical,Married,3
31,No,Research & Development,Healthcare Representative,2643,3,4,4,No,2,Other,Divorced,3
37,No,Research & Development,Manufacturing Director,2053,10,4,4,No,10,Marketing,Divorced,3
21,Yes,Sales,Manager,3108,8,4,2,No,3,Life Sciences,Divorced,3
43,No,Research & Development,Research Director,2760,6,4,2,No,7,Technical Degree,Married,3
44,No,Research & Development,Laboratory Technician,1994,15,3,3,No,1,Marketing,Divorced,3
28,Yes,Research & Development,Research Scientist,3713,4,2,2,No,1,Technical Degree,Divorced,4
31,No,Research & Development,Healthcare Representative,5761,10,4,4,Yes,9,Medical,Single,3
31,Yes,Research & Development,Research Director,14030,5,1,3,Yes,5,Human Resources,Divorced,3
40,Yes,Research & Development,Healthcare Representative,3341,11,2,2,Yes,18,Human Resources,Divorced,3
39,Yes,Research & Development,Research Director,3333,14,4,3,Yes,1,Life Sciences,Divorced,3
33,No,Sales,Manager,3610,3,4,3,No,11,Medical,Single,3
44,Yes,Research & Development,Research Scientist,2492,2,4,2,Yes,24,Other,Married,3
43,No,Research & Development,Research Scientist,6346,25,4,1,No,9,Medical,Single,3
35,No,Sales,Manager,7505,0,3,4,No,5,Medical,Married,3
43,No,Research & Development,Manufacturing Director,4778,7,2,3,Yes,32,Medical,Married,3
49,Yes,Research & Development,Healthcare Representative,2855,7,4,2,No,1,Life Sciences,Single,3
46,No,Sales,Manager,5609,15,3,3,Yes,9,Human Resources,Divorced,3
47,No,Sales,Manager,4288,14,2,3,Yes,1,Life Sciences,Single,4
35,No,Research & Development,Manufacturing Director,8861,2,3,1,No,7,Medical,Single,3
47,No,Sales,Sales Representative,5700,0,1,3,No,3,Medical,Divorced,3
43,No,Research & Development,Healthcare Representative,9890,6,4,3,Yes,3,Life Sciences,Married,3
44,No,Sales,Manager,6056,23,3,2,Yes,15,Marketing,Married,3
43,No,Research & Development,Manufacturing Director,8019,12,1,3,No,3,Human Resources,Divorced,3
26,No,Research & Development,Manufacturing Director,5669,8,2,2,No,22,Medical,Divorced,3
37,Yes,Sales,Sales Representative,11059,16,1,3,Yes,1,Life Sciences,Married,3
29,No,Research & Development,Laboratory Technician,8420,4,3,4,No,3,Other,Married,3
39,Yes,Research & Development,Laboratory Technician,4475,2,4,2,No,21,Marketing,Married,3
42,Yes,Human Resources,Human Resources,4746,7,2,2,No,1,Other,Married,3
49,Yes,Sales,Sales Representative,4117,1,1,3,Yes,1,Life Sciences,Married,3
32,No,Human Resources,Human Resources,8409,7,3,3,No,8,Medical,Married,3
45,No,Sales,Sales Representative,4650,5,4,4,Yes,10,Life Sciences,Married,3
43,No,Human Resources,Manager,3573,0,4,4,No,8,Marketing,Married,3
46,No,Research & Development,Healthcare Representative,3338,19,4,2,No,12,Human Resources,Single,3
40,No,Sales,Sales Representative,4378,7,4,2,No,1,Other,Single,3
39,No,Research & Development,Research Scientist,4219,1,3,3,No,1,Technical Degree,Married,3
44,No,Human Resources,Human Resources,3694,40,2,2,No,30,Human Resources,Divorced,4
33,No,Research & Development,Healthcare Representative,5766,26,4,2,No,1,Other,Married,3
30,No,Research & Development,Healthcare Representative,4399,2,4,3,No,1,Medical,Single,4
33,Yes,Research & Development,Manufacturing Director,4509,0,1,3,No,6,Other,Divorced,3
46,No,Research & Development,Healthcare Representative,7781,1,3,3,Yes,4,Human Resources,Married,3
49,No,Human Resources,Human Resources,4655,3,4,3,No,4,Other,Divorced,3
27,Yes,Research & Development,Research Scientist,4329,0,1,4,Yes,2,Human Resources,Divorced,3
25,Yes,Research & Development,Healthcare Representative,4970,22,4,4,No,12,Human Resources,Single,3
37,No,Sales,Sales Executive,4209,4,3,1,No,11,Human Resources,Single,3
43,No,Research & Development,Research Director,3691,6,2,2,No,15,Medical,Married,3
40,No,Sales,Manager,7471,4,3,2,No,3,Other,Single,4
60,No,Research & Development,Research Director,3652,17,4,3,No,7,Human Resources,Married,3
22,No,Sales,Sales Executive,4382,17,2,4,No,8,Human Resources,Married,3
29,No,Sales,Sales Representative,4342,6,3,4,Yes,1,Human Resources,Married,3
31,No,Human Resources,Manager,11301,5,1,4,No,3,Technical Degree,Married,3
25,No,Sales,Sales Executive,7085,8,4,3,No,20,Human Resources,Single,3
50,No,Research & Development,Research Scientist,3464,8,2,2,No,4,Other,Single,3
25,No,Sales,Manager,2634,0,3,4,Yes,1,Life Sciences,Married,3
38,No,Research & Development,Research Scientist,3887,2,3,4,No,4,Medical,Single,4
36,No,Research & Development,Manufacturing Director,10701,15,4,1,No,15,Technical Degree,Married,3
40,Yes,Sales,Sales Representative,5875,2,4,1,Yes,6,Other,Divorced,3
37,Yes,Research & Development,Research Director,4286,18,3,4,Yes,7,Marketing,Single,3
38,No,Research & Development,Laboratory Technician,3849,4,4,3,Yes,9,Technical Degree,Divorced,3
27,No,Research & Development,Laboratory Technician,5877,22,3,1,No,2,Medical,Single,3
37,No,Research & Development,Research Scientist,6047,4,4,2,No,7,Technical Degree,Divorced,3
42,No,Research & Development,Research Director,4084,0,4,2,No,3,Technical Degree,Single,3
25,No,Sales,Sales Executive,6866,8,4,2,No,8,Medical,Married,3
41,No,Research & Development,Laboratory Technician,3227,9,1,3,No,24,Other,Single,3
18,No,Human Resources,Human Resources,7268,13,3,3,No,16,Technical Degree,Divorced,3
36,Yes,Research & Development,Research Scientist,1726,5,2,4,No,3,Life Sciences,Single,3
35,Yes,Sales,Manager,5609,1,3,2,Yes,3,Human Resources,Divorced,3
30,Yes,Research & Development,Research Scientist,1768,23,3,2,Yes,5,Life Sciences,Married,3
49,Yes,Sales,Sales Representative,3984,2,3,2,No,1,Medical,Single,4
33,No,Sales,Sales Executive,7582,8,2,4,Yes,1,Marketing,Single,3
36,No,Sales,Manager,5544,17,3,2,No,9,Human Resources,Divorced,4
33,No,Sales,Manager,5285,0,1,4,No,13,Medical,Married,3
32,No,Research & Development,Laboratory Technician,3363,3,4,3,Yes,1,Human Resources,Single,3
38,No,Research & Development,Manufacturing Director,6598,11,3,3,Yes,18,Life Sciences,Divorced,3
18,No,Sales,Manager,17579,6,4,3,No,1,Medical,Divorced,3
30,Yes,Sales,Manager,6049,12,2,2,Yes,4,Technical Degree,Single,3
38,No,Research & Development,Healthcare Representative,4826,0,1,1,No,1,Other,Married,3
60,Yes,Research & Development,Research Director,8679,1,2,2,No,2,Technical Degree,Married,3
30,Yes,Human Resources,Human Resources,7973,1,1,3,No,13,Medical,Divorced,4
32,Yes,Research & Development,Manufacturing Director,3593,12,2,1,No,4,Medical,Married,4
29,No,Research & Development,Laboratory Technician,2671,3,1,3,Yes,4,Life Sciences,Divorced,3
33,No,Research & Development,Manufacturing Director,5936,3,3,2,No,11,Human Resources,Divorced,3
39,No,Research & Development,Laboratory Technician,3255,0,4,4,No,7,Marketing,Single,4
33,No,Research & Development,Healthcare Representative,2791,12,3,3,No,20,Technical Degree,Married,4
51,No,Sales,Sales Executive,5725,9,3,2,No,11,Medical,Single,3
32,No,Research & Development,Healthcare Representative,2970,0,3,3,No,9,Human Resources,Divorced,3
37,No,Sales,Sales Executive,9090,27,1,2,No,3,Medical,Divorced,4
56,No,Sales,Manager,8952,7,2,3,No,1,Medical,Married,3
44,No,Research & Development,Laboratory Technician,7980,1,3,4,No,30,Marketing,Married,3
41,Yes,Sales,Sales Executive,4610,2,4,4,No,1,Medical,Divorced,3
34,No,Research & Development,Research Scientist,10161,4,4,3,No,4,Technical Degree,Single,3
32,No,Research & Development,Research Director,8694,5,3,2,Yes,24,Technical Degree,Single,3
35,No,Research & Development,Research Director,5088,6,3,3,No,1,Marketing,Married,3
29,No,Human Resources,Manager,1476,0,1,3,No,6,Marketing,Married,3
33,No,Research & Development,Healthcare Representative,3917,4,2,2,No,9,Technical Degree,Married,3
35,No,Research & Development,Research Scientist,4174,27,3,3,Yes,6,Other,Married,3
18,No,Research & Development,Healthcare Representative,13644,20,3,1,No,2,Marketing,Married,3
20,Yes,Research & Development,Manufacturing Director,8297,1,3,4,No,3,Medical,Divorced,4
43,Yes,Human Resources,Human Resources,6433,24,4,3,No,1,Human Resources,Divorced,3
